#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.50553    -20.320822  0.000  0.000  0.000  0.001
   0.54025    -20.304247  0.000  0.001  0.000  0.001
   0.57496    -20.295645  0.000  0.001  0.000  0.001
 
# Band-Index   20
   0.57496    -20.229558  0.000  0.000  0.000  0.000
   0.54025    -20.178922  0.000  0.000  0.000  0.000
   0.50553    -20.114492  0.000  0.000  0.000  0.001
   0.47082    -20.065867  0.000  0.000  0.000  0.001
   0.43610    -20.019027  0.000  0.001  0.000  0.001
   0.40139    -19.980665  0.000  0.001  0.000  0.001
   0.36667    -19.975692  0.001  0.001  0.000  0.002
   0.33196    -19.993226  0.001  0.000  0.001  0.002
   0.33196    -19.993226  0.001  0.000  0.001  0.002
   0.29145    -19.999446  0.001  0.000  0.001  0.002
   0.25095    -20.004311  0.000  0.000  0.001  0.001
   0.21045    -20.014315  0.000  0.000  0.001  0.001
   0.21045    -20.014315  0.000  0.000  0.001  0.001
   0.17538    -20.019385  0.000  0.000  0.001  0.001
   0.14030    -20.020388  0.001  0.000  0.001  0.002
   0.10523    -20.028499  0.000  0.000  0.000  0.001
   0.07015    -20.098096  0.000  0.000  0.000  0.001
   0.03508    -20.181068  0.000  0.000  0.000  0.000
   0.00000    -20.229558  0.000  0.000  0.000  0.000
 
# Band-Index   21
   0.00000    -20.018181  0.000  0.000  0.000  0.001
   0.03508    -20.000315  0.000  0.000  0.000  0.001
   0.07015    -19.977211  0.000  0.000  0.000  0.001
   0.10523    -19.956979  0.000  0.000  0.001  0.001
   0.14030    -19.914806  0.000  0.001  0.001  0.002
   0.17538    -19.923265  0.000  0.001  0.001  0.002
   0.21045    -19.933274  0.000  0.001  0.000  0.002
   0.21045    -19.933274  0.000  0.001  0.000  0.002
   0.25095    -19.928271  0.000  0.001  0.000  0.001
   0.29145    -19.908828  0.000  0.000  0.001  0.001
   0.33196    -19.910598  0.000  0.000  0.000  0.001
   0.33196    -19.910598  0.000  0.000  0.000  0.001
   0.36667    -19.860709  0.000  0.000  0.001  0.001
   0.40139    -19.865610  0.001  0.000  0.001  0.002
   0.43610    -19.899524  0.001  0.001  0.000  0.002
   0.47082    -19.933820  0.000  0.001  0.000  0.001
   0.50553    -19.975112  0.000  0.000  0.000  0.001
   0.54025    -20.008210  0.000  0.000  0.000  0.001
   0.57496    -20.018181  0.000  0.000  0.000  0.001
 
# Band-Index   22
   0.57496    -19.885717  0.001  0.000  0.001  0.002
   0.54025    -19.878769  0.001  0.000  0.000  0.002
   0.50553    -19.855144  0.001  0.000  0.000  0.002
   0.47082    -19.827501  0.001  0.000  0.001  0.002
   0.43610    -19.821885  0.000  0.000  0.001  0.001
   0.40139    -19.827852  0.000  0.000  0.000  0.001
   0.36667    -19.808120  0.000  0.000  0.000  0.001
   0.33196    -19.773269  0.000  0.000  0.000  0.000
   0.33196    -19.773269  0.000  0.000  0.000  0.000
   0.29145    -19.753991  0.000  0.000  0.000  0.000
