     #Energy           s           p           d       tot  
     2.60241    -0.00177    -0.03823     0.00000    -0.03999
     2.61241    -0.00165    -0.03580     0.00000    -0.03745
     2.62241    -0.00149    -0.03280     0.00000    -0.03429
     2.63241    -0.00132    -0.02968     0.00000    -0.03099
     2.64241    -0.00116    -0.02709     0.00000    -0.02825
     2.65241    -0.00104    -0.02559     0.00000    -0.02662
     2.66241    -0.00097    -0.02544     0.00000    -0.02642
     2.67241    -0.00097    -0.02662     0.00000    -0.02759
     2.68241    -0.00102    -0.02882     0.00000    -0.02984
     2.69241    -0.00112    -0.03175     0.00000    -0.03287
     2.70241    -0.00128    -0.03513     0.00000    -0.03641
     2.71241    -0.00150    -0.03888     0.00000    -0.04038
     2.72241    -0.00180    -0.04295     0.00000    -0.04476
     2.73241    -0.00219    -0.04728     0.00000    -0.04947
     2.74241    -0.00267    -0.05163     0.00000    -0.05430
     2.75241    -0.00319    -0.05580     0.00000    -0.05900
     2.76241    -0.00373    -0.05971     0.00000    -0.06344
     2.77241    -0.00425    -0.06345     0.00000    -0.06770
     2.78241    -0.00473    -0.06742     0.00000    -0.07214
     2.79241    -0.00518    -0.07215     0.00000    -0.07733
     2.80241    -0.00563    -0.07799     0.00000    -0.08362
     2.81241    -0.00609    -0.08493     0.00000    -0.09102
     2.82241    -0.00656    -0.09244     0.00000    -0.09900
     2.83241    -0.00699    -0.09951     0.00000    -0.10650
     2.84241    -0.00732    -0.10500     0.00000    -0.11232
     2.85241    -0.00748    -0.10799     0.00000    -0.11547
     2.86241    -0.00744    -0.10807     0.00000    -0.11551
     2.87241    -0.00723    -0.10537     0.00000    -0.11260
     2.88241    -0.00691    -0.10060     0.00000    -0.10751
     2.89241    -0.00654    -0.09471     0.00000    -0.10125
     2.90241    -0.00620    -0.08866     0.00000    -0.09486
     2.91341    -0.00592    -0.08323     0.00000    -0.08915
     2.92341    -0.00567    -0.07886     0.00000    -0.08453
     2.93341    -0.00544    -0.07574     0.00000    -0.08118
     2.94341    -0.00519    -0.07379     0.00000    -0.07898
     2.95341    -0.00489    -0.07276     0.00000    -0.07765
     2.96341    -0.00455    -0.07234     0.00000    -0.07690
     2.97341    -0.00420    -0.07220     0.00000    -0.07640
     2.98341    -0.00385    -0.07209     0.00000    -0.07594
     2.99341    -0.00354    -0.07208     0.00000    -0.07561
     3.00341    -0.00329    -0.07257     0.00000    -0.07586
     3.01341    -0.00313    -0.07428     0.00000    -0.07741
     3.02341    -0.00308    -0.07784     0.00000    -0.08092
     3.03341    -0.00313    -0.08343     0.00000    -0.08656
     3.04341    -0.00327    -0.09047     0.00000    -0.09374
     3.05341    -0.00347    -0.09778     0.00000    -0.10125
     3.06341    -0.00368    -0.10391     0.00000    -0.10759
     3.07341    -0.00390    -0.10764     0.00000    -0.11154
     3.08341    -0.00409    -0.10829     0.00000    -0.11238
     3.09341    -0.00427    -0.10578     0.00000    -0.11005
     3.10341    -0.00440    -0.10044     0.00000    -0.10484
     3.11341    -0.00447    -0.09285     0.00000    -0.09732
     3.12341    -0.00446    -0.08378     0.00000    -0.08824
     3.13341    -0.00439    -0.07411     0.00000    -0.07849
     3.14341    -0.00427    -0.06480     0.00000    -0.06907
     3.15341    -0.00416    -0.05682     0.00000    -0.06098
