     #Energy           s           p           d       tot  
     2.75241     0.00692     2.63452     0.00000     2.64144
     2.76241     0.00722     2.60528     0.00000     2.61249
     2.77241     0.00748     2.55538     0.00000     2.56285
     2.78241     0.00768     2.49925     0.00000     2.50692
     2.79241     0.00784     2.46072     0.00000     2.46856
     2.80241     0.00802     2.47209     0.00000     2.48012
     2.81241     0.00833     2.56533     0.00000     2.57365
     2.82241     0.00884     2.76030     0.00000     2.76913
     2.83241     0.00959     3.05142     0.00000     3.06101
     2.84241     0.01053     3.40214     0.00000     3.41267
     2.85241     0.01149     3.75075     0.00000     3.76225
     2.86241     0.01230     4.02726     0.00000     4.03956
     2.87241     0.01276     4.17387     0.00000     4.18664
     2.88241     0.01279     4.16105     0.00000     4.17384
     2.89241     0.01237     3.99378     0.00000     4.00614
     2.90241     0.01160     3.70668     0.00000     3.71828
     2.91341     0.01064     3.35421     0.00000     3.36485
     2.92341     0.00969     2.99650     0.00000     3.00619
     2.93341     0.00892     2.68799     0.00000     2.69691
     2.94341     0.00843     2.46581     0.00000     2.47424
     2.95341     0.00824     2.34286     0.00000     2.35110
     2.96341     0.00831     2.30653     0.00000     2.31483
     2.97341     0.00849     2.32505     0.00000     2.33354
     2.98341     0.00865     2.35882     0.00000     2.36747
     2.99341     0.00869     2.37595     0.00000     2.38464
     3.00341     0.00855     2.36336     0.00000     2.37191
     3.01341     0.00830     2.33195     0.00000     2.34025
     3.02341     0.00805     2.31416     0.00000     2.32221
     3.03341     0.00794     2.35259     0.00000     2.36053
     3.04341     0.00810     2.48517     0.00000     2.49326
     3.05341     0.00856     2.73096     0.00000     2.73952
     3.06341     0.00931     3.08138     0.00000     3.09069
     3.07341     0.01022     3.49940     0.00000     3.50963
     3.08341     0.01112     3.92651     0.00000     3.93763
     3.09341     0.01184     4.29537     0.00000     4.30721
     3.10341     0.01223     4.54611     0.00000     4.55834
     3.11341     0.01221     4.63767     0.00000     4.64988
     3.12341     0.01178     4.55749     0.00000     4.56927
     3.13341     0.01101     4.32133     0.00000     4.33233
     3.14341     0.01001     3.96777     0.00000     3.97778
     3.15341     0.00892     3.55149     0.00000     3.56041
     3.16341     0.00787     3.12729     0.00000     3.13516
     3.17341     0.00696     2.73972     0.00000     2.74668
     3.18341     0.00623     2.41300     0.00000     2.41923
     3.19341     0.00565     2.14842     0.00000     2.15406
     3.20341     0.00516     1.92964     0.00000     1.93480
     3.21341     0.00471     1.73590     0.00000     1.74061
     3.22341     0.00426     1.55552     0.00000     1.55978
     3.23341     0.00382     1.39397     0.00000     1.39779
     3.24341     0.00347     1.27165     0.00000     1.27512
     3.25341     0.00328     1.21369     0.00000     1.21697
     3.26341     0.00331     1.23678     0.00000     1.24009
     3.27341     0.00358     1.34166     0.00000     1.34525
     3.28341     0.00407     1.51499     0.00000     1.51906
     3.29341     0.00477     1.73877     0.00000     1.74354
     3.30341     0.00568     2.00221     0.00000     2.00790
     3.31341     0.00686     2.30670     0.00000     2.31356
     3.32341     0.00835     2.66116     0.00000     2.66951
     3.33341     0.01018     3.06859     0.00000     3.07877
     3.34341     0.01223     3.51243     0.00000     3.52467
     3.35341     0.01431     3.94774     0.00000     3.96205
     3.36341     0.01609     4.30798     0.00000     4.32407
     3.37341     0.01725     4.52099     0.00000     4.53825
     3.38341     0.01755     4.53284     0.00000     4.55038
     3.39341     0.01692     4.32828     0.00000     4.34520
     3.40341     0.01551     3.94015     0.00000     3.95566
     3.41341     0.01366     3.44384     0.00000     3.45751
     3.42341     0.01177     2.93617     0.00000     2.94794
     3.43341     0.01019     2.50806     0.00000     2.51825
     3.44341     0.00914     2.21954     0.00000     2.22868
     3.45341     0.00865     2.08672     0.00000     2.09536
     3.46341     0.00855     2.08356     0.00000     2.09211
     3.47341     0.00861     2.15566     0.00000     2.16427
     3.48341     0.00860     2.23968     0.00000     2.24828
     3.49341     0.00834     2.28096     0.00000     2.28930
     3.50341     0.00778     2.24613     0.00000     2.25391
     3.51341     0.00697     2.12968     0.00000     2.13665
     3.52341     0.00605     1.95507     0.00000     1.96112
     3.53341     0.00518     1.77145     0.00000     1.77664
     3.54341     0.00457     1.64494     0.00000     1.64952
     3.55341     0.00439     1.64435     0.00000     1.64873
     3.56341     0.00475     1.82381     0.00000     1.82856
     3.57341     0.00570     2.20627     0.00000     2.21196
     3.58341     0.00717     2.77249     0.00000     2.77966
     3.59341     0.00901     3.46088     0.00000     3.46989
     3.60341     0.01098     4.17911     0.00000     4.19009
     3.61341     0.01283     4.82448     0.00000     4.83731
     3.62341     0.01434     5.30787     0.00000     5.32221
     3.63341     0.01539     5.57528     0.00000     5.59067
     3.64341     0.01594     5.61883     0.00000     5.63477
     3.65341     0.01611     5.47627     0.00000     5.49238
     3.66341     0.01605     5.21830     0.00000     5.23436
     3.67341     0.01597     4.92784     0.00000     4.94381
     3.68341     0.01599     4.67682     0.00000     4.69281
     3.69341     0.01617     4.50941     0.00000     4.52558
